id,date,sp,lat,long,d,id_transect,elev,loc,h,w,wr
25719,2012-10-31,Qpy,37.12358,-3.35758,24,A027,1613,SJ,9.5,142.81920000000002,82.368
25720,2012-10-31,Qpy,37.12358,-3.35758,31,A027,1613,SJ,10,250.821,137.423
25698,2012-10-31,Qpy,37.12358,-3.35758,2.5,A027,1613,SJ,0.9,0.3229262500000001,0.8937499999999999
25865,2013-10-03,Qpy,37.12567,-3.35383,25,A040,1629,SJ,7,114.1875,89.37499999999999
25867,2013-10-03,Qpy,37.12567,-3.35383,32,A040,1629,SJ,9.5,253.9008,146.432
25868,2013-10-03,Qpy,37.12567,-3.35383,2,A040,1629,SJ,1.1,0.48796720000000016,0.572
25869,2013-10-03,Qpy,37.12567,-3.35383,2,A040,1629,SJ,1.1,0.48796720000000016,0.572
25872,2013-10-03,Qpy,37.12567,-3.35383,22,A040,1629,SJ,6,75.7944,69.21199999999999
25873,2013-10-03,Qpy,37.12567,-3.35383,NA,A040,1629,SJ,1.1,NA,NA
25874,2013-10-03,Qpy,37.12567,-3.35383,NA,A040,1629,SJ,1.1,NA,NA
25876,2013-10-03,Qpy,37.12567,-3.35383,25,A040,1629,SJ,10,163.125,89.37499999999999
25877,2013-10-03,Qpy,37.12567,-3.35383,24,A040,1629,SJ,9.5,142.81920000000002,82.368
25879,2013-10-03,Qpy,37.12567,-3.35383,4,A040,1629,SJ,1.95,0.6459856000000002,2.288
25883,2013-10-03,Qpy,37.12567,-3.35383,18,A040,1629,SJ,6,50.7384,46.331999999999994
25884,2013-10-03,Qpy,37.12567,-3.35383,16,A040,1629,SJ,9,60.13440000000001,36.608
25885,2013-10-03,Qpy,37.12567,-3.35383,3,A040,1629,SJ,1.8,0.7395156000000002,1.287
25886,2013-10-03,Qpy,37.12567,-3.35383,8,A040,1629,SJ,3.5,5.8464,9.152
25888,2013-10-03,Qpy,37.12567,-3.35383,19,A040,1629,SJ,5.5,51.82155,51.623
25889,2013-10-03,Qpy,37.12567,-3.35383,25,A040,1629,SJ,8,130.5,89.37499999999999
25892,2013-10-03,Qpy,37.12567,-3.35383,3,A040,1629,SJ,1.2,0.4150104,1.287
25896,2013-10-03,Qpy,37.12567,-3.35383,22,A040,1629,SJ,8.5,107.3754,69.21199999999999
25897,2013-10-03,Qpy,37.12567,-3.35383,1,A040,1629,SJ,1.4,0.275,0.143
25899,2013-10-03,Qpy,37.12567,-3.35383,28,A040,1629,SJ,9.5,194.39280000000002,112.112
25901,2013-10-03,Qpy,37.12567,-3.35383,14,A040,1629,SJ,5.5,28.135800000000003,28.028
25902,2013-10-03,Qpy,37.12567,-3.35383,21,A040,1629,SJ,7,80.57070000000002,63.062999999999995
25903,2013-10-03,Qpy,37.12567,-3.35383,16,A040,1629,SJ,4.5,30.067200000000003,36.608
25905,2013-10-03,Qpy,37.12567,-3.35383,2,A040,1629,SJ,1.4,0.6494128,0.572
25906,2013-10-03,Qpy,37.12567,-3.35383,3,A040,1629,SJ,1.9,0.7935998,1.287
25925,2013-10-03,Qpy,37.12567,-3.35383,1,A040,1629,SJ,1,0.453,0.143
25926,2013-10-03,Qpy,37.12567,-3.35383,24,A040,1629,SJ,12,180.40320000000003,82.368
25927,2013-10-03,Qpy,37.12567,-3.35383,17,A040,1629,SJ,6,45.257400000000004,41.327
25928,2013-10-03,Qpy,37.12567,-3.35383,27,A040,1629,SJ,11,209.29590000000002,104.24699999999999
